algorithm,expression_str
genetic,10*0**x*x*sqrt(x**2*cos(x)/2 + x*(1 - tanh(x)**2) - x/2)/sqrt(tanh(x*tanh(x))) - 6
genetic,12*x*(-6 + 12/sqrt(-tanh(x*exp(x)/2)))**(0**tanh(x*(-6 + 12/sqrt(-tanh(x*exp(x)/2)))**(0**tanh(3*x*exp(x)))*exp(x)))*exp(x)*sqrt(cos(x*exp(x))) - 1/8
genetic,12*log(atan(2))/((-1)**atan(atan(2))*atan(2)**(6*x/(-1)**atan(atan(2))))
genetic,x**2*(exp(2*x) + cos(x))*exp(2*x)
genetic,-4*exp(x) - 4*log(exp(exp(x))) + 3
genetic,-log(exp(-1/(x/2 - 1)**2)/9) + log(9*exp((x/2 - 1)**(-2))) + 3
genetic,((6*x**2 - 4)*log(exp(3*x**2)) - 4)*log(exp(3*x**2)) + 6
genetic,-5*x*(x + 4)/2
genetic,-exp(x)*log(exp(x)) - log(exp(-2*x)*exp(exp(x)*log(exp(x)) - 4)/81) + 2*log(9*exp(x))
genetic,-sqrt(log(x))/(2*x)
genetic,-1/(2*x*((4 + 1/x)**2 + 1))
genetic,-x/8 + (x - 1)/x**3
genetic,-(2*exp(4*x) + exp(2*x))*exp(-2*x) - log(exp(4*x))
genetic,x*(exp(4*x) + cos(x))*exp(2*x) - (2*exp(4*x) + exp(2*x))*exp(-2*x)
genetic,12*x**(x/2)*(1/2 + (0**(-6 + 12/sqrt(tanh(3*x))))**(-1/64)) - 18
genetic,12*2**(-6 + 12/sqrt(tanh(x*(log(cosh(x)) - 6)*cosh(x)**x)))*x**(0**(0**x))*(0**(0**x)*x)**(-6 + 12/sqrt(tanh(x*(log(cosh(x)) - 6)*cosh(x)**x))) - 1/8
genetic,x*(x + log(2*x**2))
genetic,(x + tanh(3/16))*exp(x)
genetic,-(-2 + tan(1))*(1 - tan(1)**2)*(log(-x) + 1)
genetic,(4*x)**(4*x)*(-2 + tan(1))*((4*x)**(4*x) + 1)*(log(4*x) + 1)
genetic,-(4 + exp(-x))**2*exp(x)/2
genetic,(2*x**2)**(x**5)*(5*x**4*log(2*x**2) + 2*x**4) + (x + exp(x)*log(exp(x))*log(9*exp(x)))*log(9*exp(x))
genetic,-log(-x*exp(x))
genetic,80*x*(x - 1/8)**(1/8) - 7
genetic,3*x + 9*exp(2*x)*log(exp(x)) + 3
genetic,(2*log(x) + log(exp(x)))*(x + 2*log(x) + log(exp(x)))
genetic,(1 - tanh(cos(tanh(4))/80)**2)*(tan(x)**2 + 1)*cos(tanh(4))/(6400*sinh(3))
genetic,x*(x**2 - log(x*exp(-2*x**2 - x)))
genetic,-((2*x*exp(2*x) + exp(2*x))*exp(2*x*exp(2*x) + exp(2*x)) + exp(2*x*exp(2*x) + exp(2*x)))*exp(-2*x*exp(2*x) - exp(2*x)) - log(x*exp(2*x*exp(2*x) + exp(2*x)))
genetic,0**x*5**(x/2)*x*tanh(cosh(x))**(3*sin(x))/(-x*sin(x)*cos(x)*cosh(x) - sin(x)**2*cosh(x) + sin(x)*cosh(x))**(3*sin(x)) - 6
genetic,(4*x)**(4*x)*(-2 + tan(1))*(log(4*x) + 1)*tanh((4*x)**(4*x))**2
genetic,8*x/(5*x + 1/x) - 6
genetic,8*x/(5*x + x**(-2))**2 - 6
genetic,x**2 + log(81*exp(x)) + 36
genetic,-(-2 + tan(1))*(1 - tanh(1)**2)*(log(x) + 1)
genetic,3*log(exp(x))/16 + 5*cos(x)/(2*sqrt(sin(x)))
genetic,3*x**2/(3*0**x*x**2 + 1/8)**(1/64) - 7
genetic,x**2 + log(x**2*exp(x)) + log(9*exp(x))
genetic,0**x*2**(1/8)*x*(-x**2 + x*cos(x)*tanh(3*x) + 1/8)**x/tanh(3*x)**x - 6
genetic,-2/3**x
genetic,75*x**2/16 + 3*log(exp(25*x**2))/16 - 3/4
genetic,9*x**2*log(9*x) + 9*x*log(9*x) + 2*x
genetic,12*2**(-6 + 12/sqrt(tanh(x*x**x*(0**((x - 1/8)**(1/8)) + log(x)))))*x**(0**(0**x))*(0**(0**x)*x)**(-6 + 12/sqrt(tanh(x*x**x*(0**((x - 1/8)**(1/8)) + log(x))))) - 1/8
genetic,-4*x**2*exp(x) - 4*x*exp(x)*log(exp(x)) - 4*exp(x)
genetic,x**x*(-2 + tan(1))*(1 - tanh(x**x)**2)*(log(x) + 1)
genetic,2*x + exp(2*x)*log(81*exp(x))*log(exp(2*x)) + exp(2*x)*log(exp(2*x))
genetic,12*3**(x + 1)*log(3)/(-1)**atan(3)
genetic,9*2**(12*tanh(sinh(x))**x - 6)*(0**(0**((x - 1/8)**(1/8)))*(x - 1/8)**(1/8))**(12*tanh(sinh(x))**x - 6)*(sinh(x) - 1)**(0**(0**((x - 1/8)**(1/8)))/8)/(4*8**(0**(0**((x - 1/8)**(1/8)))/8)) - 1/8
genetic,-5/(8*x*((4 + 5/(4*x))**2 + 1))
genetic,2*0**x*sqrt(5)*x*sqrt(x**5*cos(x)/2 + x*(0**x*2**(1/8)*5**exp(x)*x/(x*exp(x) - 5*exp(x) + 1/8)**exp(x) + x**5) - x/2) - 6
genetic,0**x*x*sqrt(-x*cos(x) - sin(x) + 1)/8 + cos(x)/2
genetic,2*x*(cos(x) + 4)
genetic,-10*0**(x - 1/8)*(x - 1/8) - 1
genetic,(1 - tanh(x*sin(1))**2)*(cos(5/4) + sin(1)) + 1
genetic,-sinh(5/12)/(x*x**sinh(5/12))
genetic,-log(2*x)
genetic,12*2**((-6)**(1/8))*x*(12*tanh(2*x)**2 - 6)**(0**((tan(x)**2/2 + 1/2)/sqrt(tan(x)))) - 1/8
genetic,x*(4 + exp(-2*x))
genetic,(-4 + 2/(3*x + 5))*log(exp(1/(3*x + 5))) + (-4 + 2/(3*x + 5))/(3*x + 5) + 3
genetic,x**2*(3*x*(1 + 32/x) - 6) - 2
genetic,x*(-2 - 2*sin(2) + 1/sqrt(x + 2))
genetic,-((x**2 - 1)*exp(x**2 - 1) + exp(x**2 - 1))*exp(1 - x**2) - log(x**2*exp(x**2 - 1))
genetic,-log(x**2) - (2*x**2 + x)/x
genetic,8*(1 - tanh((-x)**(-x))**2)*(log(-x) + 1)/(-x)**x
genetic,8/(-6 + 8/(x*(x + 5/x)))
genetic,-x*((x + 4)**2 - 1)/2
genetic,x**2*(x**2 + cos(x))
genetic,x - (2*x**2 + x)/x
genetic,2*x*exp(x**2) - log(exp(-x**2))
genetic,-4*log(x)/x - 4*log(exp(10)*exp(x*log(x) + 3)/81)/x**2 - 4/x**2
genetic,4*0**x*5**(1/8)*x**2*(2*x**2*cos(x) + 2*x*sin(x) - 2*x)**2 - 6
genetic,3*x**2 + x*log(x**2*exp(x))
genetic,(-8 + tan(1))*(1 - tanh((-x)**(-x))**8)*(log(-x) + 1)/(-x)**x
genetic,x*(-1 + 1/sqrt(x + 2))
genetic,(x + 1)**((x + 1)/x)*((1/x - (x + 1)/x**2)*log(x + 1) + 1/x)
genetic,4*0**x*5**(-2*x - 11)*x*(1 - tanh(x)**2) - 6
genetic,x*log(exp(x)*exp(exp(x)*log(exp(x)) + 3)/81) + 2*x
genetic,80*x*(1/(80*0**x*x + 1))**(1/8) - 7
genetic,-2*x*(x*log(-x*exp(8)*exp(x)) + cos(x))
genetic,36*x*exp(x) + log(9*exp(x)) + 3
genetic,exp(2*x) + log(2*x) + cos(x)
genetic,x*(x - log(x*exp(2*x*exp(2*x) + exp(2*x))))
genetic,x - 1 + 12/sqrt(tanh(3*x))
genetic,x/(25*x**2 + 1)
genetic,9*2**(12*tanh(sinh(x))**x - 6)*8**(0**(0**((2*x)**(-x)))*x)*(0**(0**((2*x)**(-x)))/(2*x)**x)**(12*tanh(sinh(x))**x - 6)/(4*(8*x - 1)**(0**(0**((2*x)**(-x)))*x)) + x
genetic,x*(exp(4*x) + cos(x))*exp(2*x)
genetic,4*(cos(exp(4*x)) + 16)*exp(4*x)
genetic,exp(x) - 2*log(x)
genetic,(x + 1)**(x**2)*(x**2/(x + 1) + 2*x*log(x + 1)) - 1
genetic,4*(-2 + 2*tanh(2)**2)*(log(2*x) - 2)
genetic,-(4 + 1/((2*x + 1)**2 + 1))**2*((2*x + 1)**2 + 1)/2
genetic,-12*3**(x + 1)*log(3)
genetic,x*(2*x - 4) + (2*x - 4)*log(2*x + 2*tanh(3)) + 3
genetic,x*log(81*exp(x))
genetic,2**(5*x*(2*x)**tanh(3) + x)*(5*(2*x)**tanh(3)*tanh(3) + 5*(2*x)**tanh(3) + 1)*log(2)
genetic,-4*exp(x) - 2 + 1/(exp(x) + tanh(3/16) + 5) - 4/(5*x + 5)
genetic,0**x*x*sqrt(0**tanh(3*x)*x + x**2*cos(x)/2 - x/2)*sqrt(0**(-6 + 12/sqrt(-tanh(x/2))))/sqrt(tanh(3*x)) - 6
genetic,x*(-1 - sin(2) + 1/sqrt(1 - x**2))
genetic,9*2**(12*tanh(sinh(x))**x - 6)*(0**(0**((x - 1/8)**(1/8)))*(x - 1/8)**(1/8))**(12*tanh(sinh(x))**x - 6)*(8*x - 1)**(0**(0**((x - 1/8)**(1/8)))/8)/(4*8**(0**(0**((x - 1/8)**(1/8)))/8)) - 1/8
genetic,(x + 5)*log(exp(x)) + exp(x)
genetic,x*log(exp(x + exp(x)*log(exp(x)))*exp(x + exp(x) + 5)/81) + 2*x
genetic,0**x*2**(7/8)*x**(9/8)*sqrt(x**2*cos(x)/2 - x/2 + x*atan(2)/2)*atan(2)**(1/8)/(2*sqrt(tanh(3*x))) - 6
genetic,-tan(x)**2
genetic,10*0**x*x*sqrt(x*(1 - tanh(x)**2) - x/2 + exp(x))/sqrt(tanh(2)) - 6
genetic,9*2**(-6 + 12/sqrt(tanh(3*x)))*(0**(0**((x - 1/8)**(1/8)))*(x - 1/8)**(1/8))**(-6 + 12/sqrt(tanh(3*x)))*(8*x - 1)**(sqrt(x))/(4*8**(sqrt(x))) - 1/8
genetic,(2*x + 2/(3*x + 5))*log(exp(x)) + 6
genetic,(4*x)**(4*x)*(-2 + tan(1))*(1 - tanh((4*x)**(4*x))**2)*(log(4*x) + 1)
genetic,0**sinh(x)*5**(1/8)*sqrt((1 - tanh(sinh(x))**2)*exp(tanh(sinh(x))) + cos(sinh(x))*sinh(x)**2/2 - sinh(x)/2)*sinh(x)/sqrt(tanh(3*sinh(x))) - 6
genetic,exp(4*x)
genetic,0**x*5**(1/8)*x*sqrt(-x**2/4 - x/2 + x*atan(2)/2)/sqrt(sinh(x)) - 6
genetic,-0**x*x*sqrt(x*sin(x)/2 - x/2 + (log(x**2) + 2)*(x**2)**x*cos(x)/2)/(8*sqrt(tanh(3*x))) - 6
genetic,0**x*x*x**x*sqrt(-x/2 + x**x*(8*x*exp(x) + 8*sqrt(x**2*cos(x)/2 + x*(1 - tanh(x)**2) - x/2)*tanh(x**2) + 1)/2 + (1 - tanh(x)**x)*exp(tanh(x)))/sqrt(tanh(3*x)) - 6
genetic,2**(4*x)*(-4 + log(2))*(-4 + 4*tanh(4)**2)*(-2 - tan(4))
genetic,-6 - 3*sqrt(-x)*(x - 2)/x
genetic,(1 + tan(1))*(1 - 1/tanh((-x)**(-x)))*(log(-x) + 1)/(-x)**x
genetic,(1 - tanh(x)**2)/tanh(x)
genetic,-6*x**x*(-2 - tan(sin(sinh(2))))*(log(x) + 1)
genetic,x*(-1 + 1/sqrt(x + 1) - 1/x)
genetic,3*x**2*(x + exp(x)) + x**2 + 36
genetic,-81*x**3 + log(3*x) + 6561/x**8
genetic,-x*((-x**2 + x)*exp(-x**2)/x + exp(-x**2)/x)*exp(x**2) - log(exp(-x**2))
genetic,2*x**(5**(-4*x - 4))*(-4*5**(-4*x - 4)*log(5)*log(x) + 5**(-4*x - 4)/x)
genetic,x*exp(2*x)
genetic,9*2**(x - 6)*(0**(0**tanh(3*x))*tanh(3*x))**(x - 6)*(8*x - 1)**(0**(0**tanh(3*x))/8)/(4*8**(0**(0**tanh(3*x))/8)) - 1/8
genetic,-x/(2*sqrt(x/2 + tanh(3) + 5)) + 1/(x/2 + tanh(3) + 5)
genetic,(x**8 + 4*x)**8
genetic,-27*2**(12*tanh(sinh(x))**x - 6)*(0**(0**((x - 1/8)**(1/8)))*(x - 1/8)**(1/8))**(12*tanh(sinh(x))**x - 6)/(2*8**(0**(0**((x - 1/8)**(1/8)))/8)) - 6
genetic,-x*log(-9*x)*log(-x) - x*log(-x) - 2/3**x
genetic,8*x/(x + 1/x)
genetic,3*(exp(x) - 5)*exp(2*x) + log(81*exp(exp(x))) + 36
genetic,(x**4 + x)*((2*x + 4)*exp(2*x + 4) + exp(2*x + 4))*exp(-2*x - 4) + (x**4 + x)*log(2*x*exp(2*x + 4))
genetic,81*x**2 + log(81*exp(9*x)) + 36
genetic,-x*log(-9*x)*log(-x) - x*log(-x) + 2*x
genetic,-exp(x)*log(exp(x)) - log(exp(exp(x)*log(exp(x)) + 3)*exp(2*exp(x) + 10)/(81*x**2)) - 1
genetic,-3*(1 - tanh(x*tanh(x))**2)*(x*(1 - tanh(x)**2) + tanh(x))/(tanh(x*tanh(x)) + atan(9))
genetic,-x/(2*(1 + 1/sqrt(1 - x/2)))
genetic,(4*x**4 + x**(-8))**8
genetic,3*(1 - 1/tanh((-x)**(-x))**2)*(log(-x) + 1)/(-x)**x
genetic,-15*(4*x)**(4*x)*(-2 + tan(1))*(log(4*x) + 1)
genetic,2**(3*x/8 - 3/4 + 20/(3*(2*x - 4)))*(1 - 320/(9*(2*x - 4)**2))*log(2)
genetic,20*0**x*x**(1/8)*(-2*x - 11)**2 - 6
genetic,1594323*exp(3*x) + log(81*exp(81*exp(x))) + 36
genetic,80*x/(x + 1) + tan(x)
genetic,E*(-(-2*x - 1)*exp(-1) - exp(-1)) - log(-x*exp(-1))
genetic,0**x*x*sqrt(x**2*cos(x)/2 - x/2 + (2 - 2*tanh(2*x)**2)*exp(tanh(x)))*sqrt(0**(-6 + 12/sqrt(-tanh(x/2))))/sqrt(tanh(3*x)) - 6
genetic,-5*cos(5/(x*atan(2)))/(x**2*atan(2))
genetic,4*(-6)**(1/8)*0**x/(x*(2*x - cos(x)/x)) - 6
genetic,12*2**(-x/2 + 12/sqrt(tanh(x*(-x/2 + log(cosh(x)))*cosh(x)**x)))*x**(0**(0**x))*(0**(0**x)*x)**(-x/2 + 12/sqrt(tanh(x*(-x/2 + log(cosh(x)))*cosh(x)**x))) - 1/8
genetic,-x/(2*x + tanh(3))**2 + 1/(2*x + tanh(3))
genetic,0**x*5**(1/8)*x*sqrt(x*sin(x)/2 + 5*cos(x)/2 - 1/2)/sqrt(tanh(3*x)) - 6
genetic,0**x*5**(1/8)*x*sqrt(-x*cos(x) - sin(x) + 1)/sqrt(tanh(3*x)) - 6
genetic,-(x + exp(8))*exp(-8) - log(-x*exp(8)*exp(x))
genetic,-1 + 3*(32*x**2 - 2)/x**2
genetic,x*(2*x - 4) + (2*x - 4)*log(exp(x)) + 3
genetic,(x + exp(x)*log(exp(x))*log(9*exp(x)))*log(9*exp(x)) + 1/(x**2 + 1)
genetic,exp(-x)
genetic,exp(-2*x)
genetic,12*sqrt(2)*sqrt(0**(0**(atan(2) + 12/sqrt(-tanh(x/2))))*(atan(2) + 12/sqrt(-tanh(x/2))))*(atan(2) + 12/sqrt(-tanh(x/2)))**(0**(0**(atan(2) + 12/sqrt(-tanh(x/2))))) - 1/8
genetic,-0**x*x*sqrt(x**5*cos(x)/2 + x*(0**x*2**(1/8)*x*tanh(3*x)**exp(x)/(x*exp(x) - exp(x)*tanh(3*x) + 1/8)**exp(x) + x**5) - x/2)/sqrt(tanh(3*x)) - 6
genetic,-20*x*cos(x) + 5/(x + 1)
genetic,(x - 8*x**x*(log(x) + 1)/(4*x**x + 20)**3)*exp(8) + 1 - 1/x
genetic,-x*exp(-8) - log(x**2*exp(8))
genetic,-4*exp(2*x) - 4*log(x) - 2
genetic,12*sqrt(2)*sqrt(0**(0**(1/8 + 12/sqrt(-tanh(x/2))))*(1/8 + 12/sqrt(-tanh(x/2))))*(1/8 + 12/sqrt(-tanh(x/2)))**(0**(0**(1/8 + 12/sqrt(-tanh(x/2))))) - 1/8
genetic,8*x*(x**8 + 5*x)**8 + 1/(x + 5/x)
genetic,E*(-2*(-2*x + exp(4*x))*exp(x) - 2*exp(x)) - exp(4*x)
genetic,-9*(2 - 2*sin(x))**2*cos(x)/8 + 13/4
genetic,E*(-2*(-2*x - 1)*exp(x) - 2*exp(x)) + 1
genetic,-20*cos(20/x)/x**2
genetic,8/(-6 + 8/(x*(x + 2)))
genetic,-log(x*exp(4*x))
genetic,-10*0**x*x - 1/(80*0**x*x + 1)
genetic,80*0**(0**x)*0**x + cos(1)/2
genetic,x*exp(x)*log(exp(x)) + x*exp(x) + exp(x)
genetic,-x*(tan(sqrt(1 - x**2))**2 + 1)/(5*sqrt(1 - x**2))
genetic,8/(x - 4/(3*x))
genetic,-x**2*(x - 2)**2/2
genetic,x**2*(x**2*exp(4*x) + x)*exp(2*x)
genetic,3*log(exp(x))/16 + 13/4
genetic,exp(2*x) - log(-x*exp(2*x)) + cos(x)
genetic,3*x**2*log(3**(x**2)) + x**2 + x
genetic,(4*x)**(4*x)*(-2 + tan(1))*(log(4*x) + 1)*tan(1)
genetic,x**2/(x/3 - 5)**2 - 6*x/(x/3 - 5)
genetic,-log(x*exp(-x))
genetic,(x + (x + 2*log(9*exp(x)))*log(9*exp(x)))*exp(x)
genetic,-log(3)/3**x
genetic,10*0**x*x*sqrt(x**2*cos(x)/2 + x*(-x**2*tanh(x)**2 + x**2) - x/2)/sqrt(tanh(3*x)) - 6
genetic,-(-3 + 4*atan(5))/(x*sqrt(x**2))
genetic,(1 - tanh(cos(tanh(5))/(3 - tan(x)))**2)*(tan(x)**2 + 1)*cos(tanh(5))/(3 - tan(x))**2
genetic,2*x*(cos(x) + 16)
genetic,8/(x - 25/4)
genetic,x**2 + 72*x*log(2*x) + x
genetic,3/4 - 1/(-5 + 9*sqrt(-x)/x) - 9*sqrt(-x)/(8*x)
genetic,1/(16*x/(2 + 1/(2*x)) - 6)
genetic,10*0**cos(x)*sqrt((-cos(x)**5*tanh(cos(x))**5 + cos(x)**5)*cos(x) + cos(x)**5*cos(cos(x))/2 - cos(x)/2)*cos(x)/sqrt(tanh(3*cos(x))) - 6
genetic,0**x*5**(1/8)*x**(3/2)/sqrt(tanh(3*x)) - 6
genetic,0**x*2**(1/8)*x*sqrt(-x/2 + cos(x)*tanh(3*x)/2 + 1/8)/sqrt(tanh(3*x)) - 6
genetic,x*(4*x - 5/2)
genetic,-6 + sqrt(-x)*(x - 1)/x**4
genetic,x*(x + tanh(3/16))*exp(x) + 3*x + 3
genetic,x*exp(-3*x) + 3 + exp(-3*x)*log(exp(x))
genetic,12*2**(-6 + 12/sqrt(tanh(x*(x*sinh(x)/cosh(x) + log(cosh(x)))*cosh(x)**x)))*x**(0**(0**x))*(0**(0**x)*x)**(-6 + 12/sqrt(tanh(x*(x*sinh(x)/cosh(x) + log(cosh(x)))*cosh(x)**x))) - 1/8
genetic,12*x*(-6 + 12/sqrt(-tanh(x*exp(x)/2)))**(0**tanh(3*x*exp(x)))*exp(x)*sqrt(cos(x*exp(x))) - 1/8
genetic,4*x*(cos(x) + 16)
genetic,-6 - 6*sqrt(x + 1)*(2*(-x - 1)**2 - 2)/(-x - 1)
genetic,log(exp(x + exp(x)*log(exp(x)))*exp(exp(x) + tanh(3/16) + 3)/81)
genetic,(2*x - 4)*log(exp(x)) + 6
genetic,-80*x*(1 + tan(1))*(1 - tanh(1)**2)*(log(-x) + 1)
genetic,exp(2*x)
genetic,10*0**(1 - sinh(x))*(1 - sinh(x))*sqrt((1 - sinh(x))*(-(1 - sinh(x))**2*tanh(sinh(x) - 1)**2 + (1 - sinh(x))**2) + sinh(x)/2 + 3/2)/sqrt(-tanh(3*sinh(x) - 3)) + 2
genetic,-log(x*(x**2)**x)
genetic,log(x**2)
genetic,2*5**(2*x - 4)*log(5) + 4
genetic,-((2*x + exp(4*x))*exp(2*x + exp(4*x)) + exp(2*x + exp(4*x)))*exp(-2*x - exp(4*x)) - log(2*x*exp(2*x + exp(4*x)))
genetic,exp(2*x) - log(-x*exp(8)*exp(x)) + cos(x)
genetic,-4*exp(-3*x)
genetic,x*(x**2 + exp(-1))
genetic,(2 - log(x**(-2)))/(x**(-2))**x
genetic,12*x*(-6 + 12/sqrt(-tanh(x/2)))**(0**tanh(3*x))*sqrt(cos(x)) + 3*x
genetic,((2*x - 4)*log(exp(x)) - 4)*log(exp(x)) + 6
genetic,12*0**x*x*(-6 + 12/sqrt(-tanh(0**x*x/2)))**(0**tanh(3*0**x*x))*sqrt(cos(0**x*x)) - 1/8
genetic,25*x**3 + 25*x**2*log(exp(x)) - 3/4
genetic,-1/(2*x**2*((1 + 1/x)**2 + 1)*sqrt(atan(1 + 1/x)))
genetic,x*(x + 1/((x + 3)**2 + 1)) + 6
genetic,12*sqrt(2)*x*(-6 + 12/sqrt(-tanh(x/2)))**(0**tanh(3*x)) - 1/8
genetic,0**x*5**(1/8)*x*tanh(3*x)**tanh(3*x)/(-x**2*cos(x)*tanh(3*x) - x*sin(x)*tanh(3*x) + x*tanh(3*x))**tanh(3*x) - 6
genetic,x*log(x*exp(x**2*log(x)))
genetic,4*0**x*5**(1/8)*x*(1 - tanh(x)**2) - 6
genetic,(1 - 1/tanh((-4*x)**(-4*x))**2)*(log(-4*x) + 1)*(tan(1) + 2)/(-4*x)**(4*x)
genetic,4*0**x*x**2*(2*x**2*cos(x) + 2*x*sin(x) - 2*x)**2*(0**(-6 + 12/sqrt(-tanh(x/2))))**(1/8) - 6
genetic,4*0**x*5**(1/8)*x**(sin(x) - 6)*(x*(6 - sin(x)) + x*(sin(x) - 6)*sin(x) + x**(sin(x) - 6)*(sin(x) - 6)*cos(x))**(sin(x) - 6) - 6
genetic,-1/(-6 - 1/x**2)
genetic,4*5**(1/8)*(sin(x)*cos(sin(x))/sqrt(tanh(2)) - sin(x)/sqrt(tanh(2)) - 1)**(1/sqrt(tanh(2)))*(0**sin(x))**sin(x)*sin(x) - 6
genetic,4*x**2*exp(-2*x - 2) + x*(2*x + 2)
genetic,-(1/tanh(4) + 4*atan(5))/(x*sqrt(x**2))
genetic,0**x*5**(1/8)*x*sqrt(x*sin(x)/2 - x/2 + cos(x)*tanh(3*x)/2)/sqrt(tanh(3*x)) - 6
genetic,0**x*5**(1/8)*x*sqrt(-x/2 + cos(x)*tanh(3*x)/2 + 1/8)/sqrt(tanh(3*x)) - 6
genetic,0**x*x*sqrt(x**2*tanh(3*x)/2 - x/2 + (1 - tanh(x)**2)*exp(tanh(x)))*sqrt(0**(-6 + 12/sqrt(-tanh(x/2))))/sqrt(tanh(3*x)) - 6
genetic,-2*x - 2*log(-3*x) + 3
genetic,(-(x + exp(8))*exp(-8) - log(-x*exp(8)*exp(x)))*log(x)
genetic,(x**4/16 - 4/x**2)/x**2
genetic,(1 - tanh((-x)**(-x))**2)*(log(-x) + 1)*tanh((-x)**(-x))**2/(-x)**x
genetic,-49/8 + 12/sqrt(tanh(3*x))
genetic,0**x*5**(1/8)*x*sqrt(-x*cos(x) - sin(x) + 1) + cos(x)/2
genetic,1 + 1/(exp(x) + 7) - 1/x
genetic,-x*exp(x) + 1/(exp(x) + tanh(3/16) + 5)
genetic,64*x**2/(x + x**(-2))
genetic,-3*(1 - tanh(x*tanh(x))**2)*(x*(1 - tanh(x)**2) + tanh(x))/(tanh(x*tanh(x)) + atan(9))**4
genetic,(10*x + 5)/(5*x**2 + 5*x - 10)
genetic,(-1 + tan(1))*(1 + tan(1))*(log(-4*x) + 1)/(-4*x)**(4*x)
genetic,0**x*2**(1/8)*8**exp(x)*x*(-tanh(1/2))**exp(x)/(8*x*exp(x) - 8*sqrt(x*(1 - tanh(x)**2) - x/2 - 6*cos(x))*tanh(1/2) + 1)**exp(x) - 6
genetic,2*log(x**2*exp(8)) + 16
genetic,-6 - 3*sqrt(-x)*(x**3 - 2)/x
genetic,0**x*5**(1/8)*x*sqrt(-x**2/4 - x/2 + x*atan(2)/2)/sqrt(tanh(3*x)) - 6
genetic,0**x*5**(1/8)*x*(x**2*cos(x)/8 + x*sin(x)/8 - x/8)**(1/8)/tanh(3*x)**(1/8) - 6
genetic,-(-2 + tan(1))*(1 - x)*(log(x) + 1)
genetic,(log(exp(x)) + 2*log(9*exp(x)))*(x + log(exp(x)) + 2*log(9*exp(x)))
genetic,-((2*x + 4)*exp(2*x + 4) + exp(2*x + 4))*exp(-2*x - 4) - log(2*x*exp(2*x + 4))
genetic,x**2*(x - 1/8)**(1/8) - 7
genetic,(-4 + exp(-3*x))*exp(x)*log(exp(x)) - 2*log(9*exp(x)) + 3
genetic,0**x*2**(1/8)*x*(-x*sin(x) + (exp(x) + 12/(-tanh(x*sin(x)))**sin(x))**(0**tanh(3*x))*sin(x)*tanh(3*x) + 1/8)**sin(x)/tanh(3*x)**sin(x) + exp(x)
genetic,20*0**x*x**(1/8)*(-tanh(x/2) - 11)**2 - 6
genetic,exp(x) - log(-x*exp(8)*exp(x)) + cos(x)
genetic,x**x*(log(x) + 1)
genetic,-(exp(2*x) + exp(8))*exp(-8) - log(exp(8)*exp(4*x))
genetic,2*x*exp(x)
genetic,(-8*x*exp(4*atan(x))/(x**2 + 1) - 2*exp(4*atan(x)))*log(4)/4**(2*x*exp(4*atan(x)))
genetic,10*0**x*x*sqrt(x**5*cos(x)/2 + x*(0**x*2**(1/8)*x*tanh(x**6)**exp(x)/(x*exp(x) - exp(x)*tanh(x**6) + 1/8)**exp(x) + x**5) - x/2)/sqrt(tanh(x**6)) - 6
genetic,exp(x)*log(exp(x)) - 2*log(x*exp(x)) + 3
genetic,-36*log(3**(-12*sin(4*x)))*sin(4*x) - 12*sin(4*x) + 36
genetic,x*(-2 + 1/sqrt(2 - 2*x**2) + 1/x)
genetic,-1/(2*x*(x + 1))
genetic,log(x*exp(4*x))
genetic,-(x + exp(-2*x))**2*exp(2*x)/2
genetic,8*x/(8 + 1/x) - 12
genetic,-(x + 2 + exp(-2*x))**2*exp(2*x)/2
genetic,-1/(-x/(5*x + 1/x) - 6)
genetic,-((4*x**2 + 4)*exp(4*x**2 + 4) + exp(4*x**2 + 4))*exp(-4*x**2 - 4) - log(4*x**2*exp(4*x**2 + 4))
genetic,-1/(x - 6)
genetic,-4*(4*x)**(4*x)*(log(4*x) + 1)
genetic,3*x**2*log(3*x) + x + exp(x + exp(x) + 5)
genetic,x*(2*x - 8) + (2*x - 8)*log(exp(x)) + 3
genetic,exp(x)*log(27/16)*log(exp(x)) + log(27/16) + 6
genetic,4*(-1)**(3/4)*2**x*log(2)*cos(2**x*log(2))/sin(2**x*log(2))**(5/4)
genetic,1/((1 + 1/x)*sinh(3))
genetic,-1/(2*((4 + 1/x)**2 + 1))
genetic,0**x*5**(1/8)*x*sqrt(x*atan(x)/2 - x/2 + x**x*cos(x)/2)/sqrt(tanh(3*x)) - 6
genetic,3*x**2*log(3*x) + x + 36
genetic,log(81*exp(81*exp(x))) + 36 + 3*(-4*log(x) - 4)/x**(4*x)
genetic,exp(x)*log(exp(x)) - 2*log(9*exp(x)) + 11
genetic,-2*x*(4*x + cos(x))
genetic,(4*x)**(4*x)*(-4 + tan(1))*(1 - tanh((4*x)**(4*x))**4)*(log(4*x) + 1)
genetic,-x*(x + tanh(3) + 5)**(13/4) + 1/(x + tanh(3) + 5)
genetic,729*exp(2*x)*exp(81*exp(x) + 5) + tan(x)**5
genetic,log(9*exp(-4*exp(x))) - log(exp(4*exp(x))/9) + 3
genetic,(-2 + tan(1))*(1 - tanh(4)**2)*(log(2) + 1)/2**(4*x)
genetic,x**2 + x + log(9*exp(x)) + 36
